Rank,Title,Manga Type,Published Date,Members,Score
1,Berserk: Shinen no Kami 2,One-shot (? vols),Jul 1996 - Jul 1996,"18,742 members",8.49
2,Koe no Katachi,One-shot (? vols),Jan 2011 - Jan 2011,"61,728 members",8.38
3,One Piece: Strong World,One-shot (? vols),Nov 2009 - Dec 2009,"16,122 members",8.06
4,Ouran Koukou Host Club Short Special,One-shot (? vols),Nov 2010 - Nov 2010,"6,106 members",8.04
5,Tokidoki,One-shot (? vols),Oct 2016 - Oct 2016,"47,193 members",8.01
6,Naruto Gaiden: Uzu no Naka no Tsumujikaze,One-shot (? vols),Jul 2023 - Jul 2023,"8,449 members",7.89
7,Yuusha Goikkou no Kaerimichi,One-shot (? vols),Aug 2018 - Aug 2018,"12,002 members",7.86
8,Bleach: Gokui Meimei-hen,One-shot (? vols),Aug 2021 - Aug 2021,"13,825 members",7.84
9,Haikyuu!! Tokubetsu Bangai-hen: Matsuri Futatabi,One-shot (? vols),Apr 2022 - Apr 2022,"2,246 members",7.78
10,Kon no Ki Konoha,One-shot (? vols),Dec 2007 - Dec 2007,"15,401 members",7.78
11,"Nee Nee, Nene-san.",One-shot (? vols),Sep 2021 - Sep 2021,"1,727 members",7.75
12,Daisuki na Tsuma Datta,One-shot (? vols),Sep 2021 - Sep 2021,"4,307 members",7.74
13,Gokurakugai Sanban-doori no Ken,One-shot (? vols),Jan 2020 - Jan 2020,"19,203 members",7.64
14,Kataude no Amy,One-shot (? vols),Oct 2020 - Oct 2020,"5,397 members",7.64
15,Mori-chan Ken-chan,One-shot (? vols),Sep 2021 - Sep 2021,580 members,7.64
16,Gaikotsu to Koi wa Dekiru no ka?,One-shot (? vols),Apr 2022 - Apr 2022,"3,413 members",7.62
17,"One Piece: Roronoa Zoro, Umi ni Chiru",One-shot (? vols),Jul 2019 - Jul 2019,"5,080 members",7.59
18,Kobato. Epilogue: Happiness.,One-shot (? vols),Sep 2011 - Sep 2011,"2,624 members",7.57
19,Dr. Stone: Terraforming,One-shot (? vols),Jul 2022 - Jul 2022,"4,591 members",7.57
20,Kotoba no Shinkai,One-shot (? vols),Sep 2024 - Sep 2024,492 members,7.56
21,Sekai no Owari no Pen-friend,One-shot (? vols),Nov 2021 - Nov 2021,"3,284 members",7.56
22,Kimi no Kaketeru Toko mo Suki,One-shot (? vols),Dec 2022 - Dec 2022,"1,362 members",7.56
23,Ao no Hako,One-shot (? vols),Aug 2020 - Aug 2020,"9,062 members",7.56
24,Meririrarariri,One-shot (? vols),Jul 2024 - Jul 2024,"1,104 members",7.51
25,Jigokuraku Tokubetsu-hen: Mokke no Mori,One-shot (? vols),Apr 2023 - Apr 2023,"3,360 members",7.51
26,Chikyuu Kiroku 0001,One-shot (? vols),Nov 2020 - Nov 2020,"3,008 members",7.50
27,Light Again,One-shot (? vols),Sep 2021 - Sep 2021,"3,478 members",7.50
28,Rurouni Kenshin: Yahiko no Sakabatou,One-shot (? vols),Dec 1999 - Dec 1999,"7,261 members",7.50
29,Dear Green,One-shot (? vols),Oct 2007 - Oct 2007,"6,252 members",7.50
30,Parasol Doumei,One-shot (? vols),Apr 2020 - Apr 2020,"5,114 members",7.49
31,Hanazakari no Kimitachi e: Special-hen,One-shot (? vols),Nov 2004 - Nov 2004,"1,303 members",7.49
32,Ruri Dragon,One-shot (? vols),Dec 2020 - Dec 2020,"7,251 members",7.49
33,Fate/Grand Order: Okita Souji Makuai no Monogatari - Koko ni,One-shot (? vols),Apr 2022 - Apr 2022,470 members,7.47
34,Aioi Wakaba to Ita Hitotsuki ni Tsuite,One-shot (? vols),Dec 2020 - Dec 2020,"1,474 members",7.47
35,Serial Experiments Lain: The Nightmare of Fabrication,One-shot (? vols),May 1999 - May 1999,"21,292 members",7.46
36,Nageku Shinigami,One-shot (? vols),Sep 2008 - Sep 2008,"5,400 members",7.46
37,Kowareta Bokura no Senryaku Renai,One-shot (? vols),Jul 2022 - Jul 2022,"3,801 members",7.46
38,Death Note: Tokubetsu Yomikiri,One-shot (? vols),Feb 2020 - Feb 2020,"68,790 members",7.46
39,Nante Nasakenai Bokura da.,One-shot (? vols),Jun 2020 - Jun 2020,"5,492 members",7.45
40,Rurouni Kenshin: Haru ni Sakura,One-shot (? vols),Dec 1999 - Dec 1999,"5,329 members",7.44
41,Sonogo no Succubus-san,One-shot (? vols),Jul 2021 - Jul 2021,"2,131 members",7.44
42,By Hero,One-shot (? vols),Apr 2007 - Apr 2007,"6,040 members",7.43
43,Dousoukai,One-shot (? vols),Apr 2015 - Apr 2015,"3,398 members",7.43
44,Akuma ni Itsukushimi no Te wo,One-shot (? vols),Jun 2011 - Jun 2011,"5,590 members",7.43
45,Haikyuu!!,One-shot (? vols),Apr 2011 - Apr 2011,"11,794 members",7.43
46,Eyeshield 21: Brain x Brave,One-shot (? vols),Jan 2024 - Jan 2024,454 members,7.42
47,Kishuku Gakkou no Juliet,One-shot (? vols),Dec 2014 - Dec 2014,"7,168 members",7.42
48,Ao Haru Ride: Special Booklet,One-shot (? vols),May 2014 - May 2014,"4,845 members",7.41
49,Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui,One-shot (? vols),Dec 2020 - Dec 2020,"3,801 members",7.41
50,Hitoner,One-shot (? vols),Feb 2024 - Feb 2024,490 members,7.41
